"ID"	"Label"
"CAI_DS"	"Communication and information"
"EDULIT_DS"	"Education"
"CUL_DS"	"Feature films"
"SCN_DS"	"Science,technology and innovation"
"DEMO_DS"	"Demographic and socio-economic"
"INNOV_DS"	"Innovation"
