"Identifier"	"Title"	"Frequency"	"Period"
"72006ned"	"Supermarkten; omzet, 2004 - 2010"	"Stopgezet"	"2004 - 2010; week 01 2004 - week 52 2010"
"37456"	"Supermarkten; omzet, 1998 - 2008"	"Stopgezet"	"1998 - 2008; week 01 1998 - week 52 2008"
"37585"	"Groothandel; bedrijfsgemiddelden, 1999"	"Stopgezet"	"1999"
"71841ned"	"Groothandel; financin, 2006 - 2008"	"Stopgezet"	"2006-2008"
"70080NED"	"Groothandel;  financin, 2000-2005"	"Stopgezet"	"2000 - 2005."
"7386HHT"	"Groothandel; financin, 1993 - 1999"	"Stopgezet"	"1993 - 1999."
"37977"	"Groothandel; hoofdgroepen, 1998-1999"	"Stopgezet"	"1998 - 1999."
"7390HHT"	"Groothandel in kapitaalgoederen '95-'99"	"Stopgezet"	"Kwartaal - en jaarcijfers: 1995 - I / - 1999 - IV, 1995 - 1999"
"37702"	"Groothandel; personeelskosten, 1999"	"Stopgezet"	"1999"
"80884ned"	"Groothandel; voorraad, 2005-2012"	"Stopgezet"	"2005-2012; 2005 1e kwartaal - 2012 4e kwartaal"
"72003ned"	"Groothandelsbedrijven; omzet, 2005-2012"	"Stopgezet"	"2005-2012 2005 1e kwartaal - 2012 4e kwartaal"
"71831ned"	"Groothandelsbedrijven; omzet, 2003 -2008"	"Stopgezet"	"2003-2008; 2003 1e kwartaal - 2008 4e kwartaal"
"37849"	"Handelsbemiddeling; 1997-1999"	"Stopgezet"	"1997 - 1999."
"37390CD"	"Drankverstrekkers; bedrijfsresultaten"	"Stopgezet"	"1996 - 1999"
"81811NED"	"Horeca; omzet, 2005 - 2013"	"Stopgezet"	"2005 - 2013, 2005 kwI - 2013 kwIV, jan. 2005 - dec. 2013"
"80002ned"	"Horeca; omzet, 1993-2012"	"Stopgezet"	"1993-2012; 1993 kw I - 2012 kw IV; 1993 januari - 2012 december"
"7229hdv"	"Horeca; omzetontwikkeling, 1993 - 2008"	"Stopgezet"	"1993 - 2008; 1993 kw I - 2008 kw IV; 1993 januari - 2008 december."
"70825NED"	"Horeca; omzetspecificatie"	"Stopgezet"	"2002 - 2005."
"37121CD"	"Kantines en catering;bedrijfsresultaten"	"Stopgezet"	"1996 - 1999"
"37225CD"	"Logiesverstrekkers; bedrijfsresultaten"	"Stopgezet"	"1996 - 1999"
"37636CD"	"Maaltijdverstrekkers; bedrijfsresultaten"	"Stopgezet"	"1996 - 1999"
"37792CD"	"Spijsverstrekkers; bedrijfsresultaten"	"Stopgezet"	"1996 - 1999"
"03732CD"	"Verblijfsrecreatie; bedrijfsresultaten"	"Stopgezet"	"1996 - 1999"
"7352hdv"	"Auto-importeurs; omzet, 1995 - 2008"	"Stopgezet"	"1995 - 2008; 1995 januari - 2008 december"
"37306CD"	"Autoservicebedrijven; bedrijfsresultaten"	"Stopgezet"	"1996 - 1999"
"37700CD"	"Bedrijfsauto's; bedrijfsresultaten"	"Stopgezet"	"1996 - 1999"
"37332CD"	"Benzineservicestations; bedr.resultaten"	"Stopgezet"	"1996 - 1999"
"7351hdv"	"Benzinestations; omzet 1995 - 2008"	"Stopgezet"	"1995-2008; 1995 kw I - 2008 kw IV; 1995 januari - 2008 december."
"37949CD"	"Detailh. automaterialen;bedr.resultaten"	"Stopgezet"	"1996 - 1999"
"37336CD"	"Grooth. automaterialen; bedr.resultaten"	"Stopgezet"	"1996 - 1999"
"70824NED"	"Motor- en autobranche; omzetspecificatie"	"Stopgezet"	"2002- 2005."
"80020ned"	"Motor- en autobranche; omzet, 1995-2012"	"Stopgezet"	"1995-2011; 1995 kwartaal I - 2012 kwartaal IIII"
"7350hdv"	"Motor- en autobranche; omzet, 1995-2008"	"Stopgezet"	"1995 - 2008; 1995 kwartaal I - 2008 kwartaal IV."
"37293CD"	"Motorfietsbedrijven; bedrijfsresultaten"	"Stopgezet"	"1996 - 1999"
"37791CD"	"Personenautobedrijven; bedr.resultaten"	"Stopgezet"	"1996 - 1999"
"71997ned"	"Personenauto-importeurs; omzet,1995-2012"	"Stopgezet"	"1995-2011; 1995 januari - 2012 december"
"37539"	"Aardoliegrondstoffen; balans, 1944-2009"	"Stopgezet"	"1944 - mei 2009"
"37782"	"Aardolieproducten; balans, 1946 - 2009"	"Stopgezet"	"1946 - mei 2009"
"37392"	"Aardolieproducten; leveringen, 1946-2009"	"Stopgezet"	"1946 - mei 2009"
"71557ned"	"Gas- en elektriciteitsnet, 1930-1998"	"Stopgezet"	"1930 - 1998"
"7515"	"Gasolieverbruik binnenschepen; 1990-2000"	"Stopgezet"	"1990 - 2000"
"37596"	"Smeermiddelen; afleveringen, 2000 - 2003"	"Stopgezet"	"2000 - 2003; halfjaar I 2000 - halfjaar II 2003; kw I 2000 - kw IV 2003"
"37921"	"Smeermiddelen; balans, 2000 - 2003"	"Stopgezet"	"2000 - 2003; halfjaar I 2000 - halfjaar II 2003;kw I 2000 - kw IV 2003 "
"37889"	"Smeermiddelen; soort, 2000 - 2003"	"Stopgezet"	"2000 - 2003; halfjaar I 2000 - halfjaar II 2003; kw I 2000 - kw IV 2003"
"37331"	"Smeermiddelen; toepassing, 2000 - 2003"	"Stopgezet"	"2000 - 2003; halfjaar I 2000 - halfjaar II 2003; kw I 2000 - kw IV 2003"
"70836ned"	"Gasmotoren; bouwjaar, 1998 - 2002"	"Stopgezet"	"1998 - 2002"
"70835ned"	"Gasmotoren; vermogensklasse, 1998 - 2002"	"Stopgezet"	"1998 - 2002"
"81606NED"	"Vervallen"	"Tweemaalperjaar"	"2010"
"07144"	"Aardolie-industrie; verkopen 1990 - 2002"	"Stopgezet"	"1990 - 2002; kw I 1990 - kw I 2003; jan 1995 - mrt. 2003."
"70662ned"	"Energiebedrijven; financin, 2001 - 2005"	"Stopgezet"	"2001 - 2005."
"7310SLEN"	"Energiebedrijven; financin, 1992 - 2000"	"Stopgezet"	"verbruikersgroepen 1992 - 2000."
