"Identifier"	"Title"	"Frequency"	"Period"
"81353ned"	"Emissies naar water; industrie"	"Perjaar"	"2008, 2009, 2010, 2011, 2012*, 2013*"
"70224ned"	"Lozing afvalwater; bestemming, 1995-2008"	"Stopgezet"	"bestemming, 1995 - 2000, 2002, 2004, 2006, 2008."
"70223ned"	"Lozing afvalwater; herkomst, 1995-2008"	"Stopgezet"	"1995 - 2000, 2002, 2004, 2006, 2008."
"70213ned"	"Kosten en financiering; landschapsbeheer"	"Pertweejaar"	"1999 - 2001, 2003, 2005, 2007, 2009, 2011"
"37193"	"Kosten en financiering; milieubeheer"	"Pertweejaar"	"1985 - 2011"
"82861NED"	"Milieukosten van bedrijven; kerncijfers"	"Perjaar"	"2012-2013*"
"37807"	"Milieukosten bedrijven 1985-2012"	"Stopgezet"	"1985 - 2012*"
"82863NED"	"Milieukosten van bedrijven"	"Perjaar"	"2012"
"81233ned"	"Milieukosten van bedrijven, 2008-2011"	"Stopgezet"	"2008 - 2011"
"37372"	"Milieukosten van het verkeer"	"Pertweejaar"	"1980 - 2011"
"37118"	"Gemeentelijke afvalstoffen; kosten"	"Pertweejaar"	"Tweejaarlijks, 1993 - 2011"
"03783"	"Milieuhinder, -gedrag, -besef (personen)"	"Eenmaalperjaar"	"1997 - 2011."
"81183ned"	"Water, afvalbeheer; financin, SBI 2008"	"Eenmaalperjaar"	"2009-2012"
"80182ned"	"Klimaatgegevens; weerstation De Bilt"	"Eenmaalperjaar"	"1800-2013"
"37846sol"	"(Speciaal) basisonderwijs; leerlingen"	"Eenmaalperjaar"	"1991/'92 - 2014/'15"
"71478ned"	"Primair onderwijs; schoolregio"	"Eenmaalperjaar"	"2000/'01 - 2013/'14"
"81788NED"	"Score eindtoets Cito; gezinskenmerken"	"Eenmaalperjaar"	"2005 - 2010"
"37746sol"	"Speciale scholen; leerlingen, schooltype"	"Eenmaalperjaar"	"1991/'92 - 2013/'14"
"70749ned"	"Leerling-stromen voortgezet onderwijs"	"Onregelmatig"	"1993"
"71508ned"	"VO; door- en uitstroom"	"Eenmaalperjaar"	"2003/'04 - 2004/'05 t/m 2010/'11 - 2011/'12"
"71170ned"	"VO; vertraging inclusief op- en afstroom"	"Eenmaalperjaar"	"2003/'04 naar 2004/'05 - 2010/'11 naar 2011/'12*"
"71893ned"	"Van VO naar MBO; huishoudkenmerken"	"Eenmaalperjaar"	"2004/'05-2005/'06 t/m 2010/'11-2011/'12"
"71892ned"	"Van VO naar MBO persoonskenmerken"	"Eenmaalperjaar"	"2004/'05-2005/'06 t/m 2010/'11-2011/'12"
"71894ned"	"Van VO naar MBO; regiokenmerken"	"Eenmaalperjaar"	"2004/'05-2005/'06 t/m 2010/'11-2011/'12"
"80122ned"	"VO; gediplomeerden, herkomstgroepering"	"Perjaar"	"2005/'06 - 2013/'14"
"80120ned"	"VO; gediplomeerden, leeftijd"	"Perjaar"	"2005/'06 - 2013/'14"
"80119ned"	"VO; gediplomeerden, onderwijssoort"	"Perjaar"	"2005/'06 - 2013/'14"
"80121ned"	"VO; gediplomeerden, regio in detail"	"Perjaar"	"2005/'06 - 2013/'14"
"80043ned"	"VO; leerlingen, herkomstgroepering"	"Perjaar"	"2003/'04 - 2014/'15"
"80041ned"	"VO; leerlingen, leeftijd"	"Perjaar"	"2003/'04 - 2014/'15"
"80040ned"	"VO; leerlingen, onderwijssoort in detail"	"Perjaar"	"2003/'04 - 2014/'15"
"80042ned"	"VO; leerlingen, regio in detail"	"Perjaar"	"2003/'04 - 2014/'15"
"80285ned"	"VO; studievoortgang, advies na eindtoets"	"Eenmaalperjaar"	"2003/'04 - 2010/'11"
"71436ned"	"VO; brugklas 03-07, huishoudkenmerken"	"Eenmaalperjaar"	"2003/'04 t/m 2010/'11"
"71435ned"	"VO; studievoortgang, leerlingkenmerken"	"Eenmaalperjaar"	"2003/'04 t/m 2010/'11"
"80284ned"	"VO; studievoortgang, woonregio"	"Eenmaalperjaar"	"2003/'04 t/m 2010/'11"
"80017ned"	"VO; schoolkleur"	"Perjaar"	"2003/'04 - 2011/'12"
"71825ned"	"MBO; deelnemers, herkomstgroepering"	"Eenmaalperjaar"	"1990/'91 - 2014/'15"
"71824ned"	"MBO; deelnemers, leeftijd"	"Eenmaalperjaar"	"1990/'91 - 2014/'15"
"71798ned"	"MBO; deelnemers, richting in detail"	"Eenmaalperjaar"	"1990/'91 - 2014/'15"
"71796ned"	"MBO; deelnemers, woonregio"	"Eenmaalperjaar"	"1990/'91 - 2014/'15"
"71827ned"	"MBO; gediplomeerden, herkomstgroepering"	"Eenmaalperjaar"	"1990/'91 - 2013/'14"
"71826ned"	"MBO; gediplomeerden, leeftijd"	"Eenmaalperjaar"	"1990/'91 - 2013/'14"
"71799ned"	"MBO; gediplomeerden, richting in detail"	"Eenmaalperjaar"	"1990/'91 - 2013/'14"
"71797ned"	"MBO; gediplomeerden, woonregio"	"Eenmaalperjaar"	"1990/'91 - 2013/'14"
"71895ned"	"MBO; door- en uitstroom"	"Perjaar"	"2004/'05 - 2009/'10"
"71897ned"	"Stromen MBO; leerweg, huishoudkenmerken"	"Perjaar"	"2004/'05-2005/'06 t/m 2008/'09-2009/'10"
"71896ned"	"Stromen MBO; leerweg, persoonskenmerken"	"Perjaar"	"2004/'05-2005/'06 t/m 2009/'10-2010/'11"
"71898ned"	"Stromen MBO; leerweg, regio"	"Perjaar"	"2004/'05-2005/'06 t/m 2009/'10-2010/'11"
"71995ned"	"Stromen MBO; sector, huishoudkenmerken"	"Perjaar"	"2004/'05-2005/'06 t/m 2008/'09-2009/'10"
"71994ned"	"Stromen MBO; sector, persoonskenmerken"	"Perjaar"	"2004/'05-2005/'06 t/m 2009/'10-2010/'11"
"71996ned"	"Stromen MBO; sector, regio"	"Perjaar"	"2004/'05-2005/'06 t/m 2009/'10-2010/'11"
"80362ned"	"Instroom MBO; persoonskenmerken"	"Eenmaalperjaar"	"2006/'07 - 2009/'10"
"80364ned"	"Instroom MBO; regiokenmerken"	"Eenmaalperjaar"	"2006/'07 - 2009/'10"
"80363ned"	"Instroom MBO; werknemers-zelfstandigen"	"Eenmaalperjaar"	"2006/'07 - 2009/'10"
"80467ned"	"MBO; studievoortgang, herkomstgroepering"	"Eenmaalperjaar"	"2005/'06 - 2012/'13"
"80468ned"	"MBO; studievoortgang, woonregio"	"Eenmaalperjaar"	"2005/'06 - 2012/'13"
"80704ned"	"MBO; studievoortgang, vooropleiding"	"Eenmaalperjaar"	"2005/'06 - 2012/'13"
"71113ned"	"HO; eerste diploma, leeftijd"	"Eenmaalperjaar"	"1990/'91 - 2013/'14"
"71172ned"	"HO; eerste diploma, herkomstgroepering"	"Onregelmatig"	"1995/'96 - 2013/'14"
"70962ned"	"HBO en WO; gediplomeerden, leeftijd"	"Eenmaalperjaar"	"1990/'91 - 2013/'14"
"71054ned"	"HBO en WO; gediplomeerden, herkomst"	"Eenmaalperjaar"	"1995/'96 - 2013/'14"
"70943ned"	"HO; ingeschrevenen, leeftijd"	"Eenmaalperjaar"	"1990/'91 - 2014/'15"
"71037ned"	"HO; ingeschrevenen, herkomstgroepering"	"Onregelmatig"	"1995/'96 - 2014/'15"
"71055ned"	"HO; eerstejaarsstudenten, herkomst"	"Eenmaalperjaar"	"1995/'96 - 2014/'15"
"70961ned"	"HO; eerstejaarsstudenten, vooropleiding"	"Eenmaalperjaar"	"1990/'91 - 2014/'15"
"71200ned"	"HBO; studievoortgang, studierichting"	"Eenmaalperjaar"	"1995 - 2012"
"71074ned"	"HBO; studieduur afgestudeerden"	"Eenmaalperjaar"	"1995/'96 - 2012/'13"
"37379ou"	"Open universiteit; studenten, 1991-2012"	"Eenmaalperjaar"	"1991 - 2012"
"71535ned"	"Theologie en humanistiek"	"Eenmaalperjaar"	"1990/'91 - 2013/'14"
"71247ned"	"Wetenschappelijk onderwijs: promoties"	"Eenmaalperjaar"	"1990/'91 - 2013/'14"
"71199ned"	"WO; studievoortgang, studierichting"	"Eenmaalperjaar"	"1995 - 2012"
"71073ned"	"WO; studieduur afgestudeerden"	"Eenmaalperjaar"	"1995/'96 - 2012/'13"
"71514ned"	"Bedrijfsopleidingen; beleid en leerbanen"	"Onregelmatig"	"2005."
"37945gld"	"Bedrijfsopleidingen: deelname en kosten"	"Onregelmatig"	"1993, 1999 en 2005."
"81850NED"	"Bedrijfsopleidingen; kerncijfers"	"Onregelmatig"	"1986-2010"
"81848NED"	"Bedrijfsopleidingen 2010"	"Onregelmatig"	"2010"
"70676ned"	"Post-initieel onderwijs, levenlang leren"	"Eenmaalperjaar"	"1995 - 2009"
"70988ned"	"Niet-bekostigd onderwijs, kenmerken"	"Eenmaalperjaar"	"2003 - 2009"
"70987ned"	"Niet-bekostigd onderwijs, soorten"	"Eenmaalperjaar"	"2003 - 2009"
"82116NED"	"Cursusdeelnemers; kenmerken, 2007"	"Eenmalig"	"2007"
"82107NED"	"Cursusdeelnemers; kenmerken, 2011"	"Onregelmatig"	"2011"
"82108NED"	"Cursusdeelnemers; SBI 2008, 2011"	"Onregelmatig"	"2011"
"80166ned"	"Educatie; deelnemers, educatietype"	"Perjaar"	"2006/'07 t/m 2013/'14"
"80173ned"	"VAVO; deelnemers, herkomstgroepering"	"Perjaar"	"2006/'07-2014/'15"
"80175ned"	"VAVO; gediplomeerden, herkomstgroepering"	"Perjaar"	"2006/'07-2013/'14"
"80174ned"	"VAVO; deelnemers, leeftijd"	"Perjaar"	"2006/'07-2014/'15"
"80176ned"	"VAVO; gediplomeerden, leeftijd"	"Perjaar"	"2006/'07-2013/'14"
"81623NED"	"MBO; woonregio, 2007/'08-2008/'08"	"Eenmaalperjaar"	"2007 en 2008"
"81625NED"	"MBO; inkomsten, 2007/'08-2008/'09"	"Eenmaalperjaar"	"2007 en 2008"
"80450ned"	"HO-afgestudeerden 00-04; arbeidsmarkt "	"Eenmaalperjaar"	"2000-2004"
"80451ned"	"HO-afgestudeerden 00-04; werkenden"	"Eenmaalperjaar"	"2000-2004"
"80452ned"	"HO-afgestudeerden 00-04; loon werknemers"	"Eenmaalperjaar"	"2000-2004"
"80459ned"	"HO-afgestudeerden 05-09; arbeidsmarkt"	"Eenmaalperjaar"	"2005-2009"
"80460ned"	"HO-afgestudeerden 05-09; werkenden"	"Eenmaalperjaar"	"2005-2009"
"80461ned"	"HO-afgestudeerden 05-09; loon werknemers"	"Eenmaalperjaar"	"2005-2009"
"81491ned"	"Onderwijsinstellingen; financin"	"Perjaar"	"1998 - 2013"
"80509ned"	"Overheidsuitgaven aan onderwijs"	"Eenmaalperjaar"	"1900 - 2013"
"80393ned"	"Onderwijs; uitgaven en indicatoren"	"Eenmaalperjaar"	"1995 - 2013"
"80197ned"	"Uitgaven per diploma; gemiddelde route"	"Perjaar"	"1998 - 2013"
"82299NED"	"Uitgaven per diploma; nominale route"	"Perjaar"	"1998 - 2013"
"82298NED"	"Uitgaven per diploma; standaard route"	"Perjaar"	"1998 - 2013"
"71292ned"	"VSV; onderwijssoort"	"Eenmaalperjaar"	"2004/'05-2012/'13"
"71300ned"	"VSV; vertraging in de schoolloopbaan"	"Eenmaalperjaar"	"2004/'05-2012/'13"
"71293ned"	"VSV; leeftijd"	"Eenmaalperjaar"	"2004/'05-2012/'13"
"71291ned"	"VSV; herkomstgroepering"	"Eenmaalperjaar"	"2004/'05-2012/'13"
"71295ned"	"VSV; soort huishouden"	"Eenmaalperjaar"	"2004/'05 - 2008/'09"
"71301ned"	"VSV; inkomsten uit baan"	"Eenmaalperjaar"	"2004/'05-2008/'09"
"71302ned"	"VSV; economische activiteit van baan"	"Eenmaalperjaar"	"2004/'05-2008/'09"
"71294ned"	"VSV; woonregio"	"Eenmaalperjaar"	"2004/'05 - 2012/'13"
"80804ned"	"VSV; loopbaanontwikkeling na schoolverla"	"Perjaar"	"2005-2008"
"81137ned"	"VSV; loonontwikkeling na schoolverlaten"	"Perjaar"	"2005-2008"
"81138ned"	"VSV; bedrijfstak na schoolverlaten"	"Perjaar"	"2005-2008"
"71304ned"	"VSV; verdachten, onderwijssoort"	"Eenmaalperjaar"	"2004/'05-2012/'13"
"71309ned"	"VSV;verdachten;vertraging schoolloopbaan"	"Eenmaalperjaar"	"2004/'05-2012/'13"
"71303ned"	"VSV; verdachten, herkomstgroepering"	"Eenmaalperjaar"	"2004/'05-2012/'13"
"71305ned"	"VSV; verdachten; soort huishouden"	"Eenmaalperjaar"	"2004/'05 - 2008/'09"
"71310ned"	"VSV; verdachten; inkomsten uit baan"	"Eenmaalperjaar"	"2004/'05-2008/'09"
"80604ned"	"VSV; studieterugkeer, leerlingkenmerken"	"Eenmaalperjaar"	"2004/'05 - 2007/'08"
"80605ned"	"VSV; studieterugkeer, huishoudkenmerken"	"Eenmaalperjaar"	"2004/'05 - 2007/'08"
"82381NED"	"Jongeren; vsv (totale omvang)"	"Perjaar"	"2003 - 2014"
"71493ned"	"Gediplomeerden; woonregio"	"Eenmaalperjaar"	"2000/'01 - 2012/'13"
"71450ned"	"Deelnemers en studenten; woonregio"	"Perjaar"	"2000/'01 - 2013/'14"
"80384ned"	"Gediplomeerden, vanaf 1900"	"Eenmaalperjaar"	"1900/'01 - 2010/'11"
"37220"	"Deelnemers en studenten; vanaf 1900"	"Eenmaalperjaar"	"1900/'01 - 2013/'14"
"70762ned"	"In-, door- en uitstroom leerlingen"	"Eenmaalperjaar"	"1995/'96 - 2008/'09"
"03753"	"Onderwijsinstellingen; grootte en soort"	"Eenmaalperjaar"	"1990/'91 - 2013/'14"
"82816NED"	"Bevolking; onderwijsniveau en -richting"	"Perjaar"	"1996-2014"
"82123NED"	"Onderwijsniveau paren"	"Perjaar"	"1992-2012"
"81473NED"	"Onderwijssucces jongeren; thuissituatie"	"Perjaar"	"2005-2012"
"82372NED"	"CO; inkomsten en uitgaven per maand"	"Permaand"	"2014 januari - 2015 mei"
"82593NED"	"DO; baten, lasten en saldo per kwartaal"	"Perkwartaal"	"2014 1e kw - 2015 1e kw"
"82561NED"	"OLO; inkomsten en uitgaven per kwartaal"	"Perkwartaal"	"2014 1e kw - 2015 1e kw"
"82823NED"	"Overheid; schuldgaranties, PPS, leningen"	"Perjaar"	"2010 - 2013"
"82891NED"	"Overheidsdeelnemingen; zeggenschap"	"Perjaar"	"2012 - 2013"
"82892NED"	"Overheidsondernemingen; schulden"	"Perjaar"	"2012 - 2013"
"82373NED"	"SZF; inkomsten en uitgaven per maand"	"Permaand"	"2014 januari - 2015 mei"
"81206NED"	"Gemeentefinancin vanaf 1900"	"Eenmaalperjaar"	"1900 - 2013"
"82981NED"	"Gemeentebegrotingen; baten en lasten"	"Perjaar"	"2004 - 2015"
"80420ned"	"Gemeentebegrotingen; heffingen"	"Tweemaalperjaar"	"2004 - 2015"
"82982NED"	"Gem.begrotingen; baten, lasten, gemeente"	"Perjaar"	"2005 - 2015"
"80485ned"	"Gemeenterekeningen; baten en lasten"	"Eenmaalperjaar"	"2004 - 2013"
"80484ned"	"Gemeenterekeningen; heffingen"	"Perjaar"	"2004 - 2013"
"71473ned"	"Gemeenterekeningen per gemeente"	"Perjaar"	"2005 - 2013"
"82987NED"	"Gemeentebegrotingen; heffingen gemeente"	"Perjaar"	"2005 - 2015"
"71453ned"	"Gem.rekeningen; balans per gemeente"	"Perjaar"	"2005 - 2013"
"71231ned"	"Gem.rekening; balans regio grootteklasse"	"Perjaar"	"2004 - 2013"
"82269NED"	"Gemeensch. regelingen; balans"	"Perjaar"	"2005 - 2013"
"82270NED"	"Gemeensch. regelingen; baten en lasten"	"Perjaar"	"2005 - 2013"
"81879NED"	"Provinciefinancin vanaf 1900"	"Perjaar"	"1900 - 2013"
"70932ned"	"Provinciebegrotingen; baten en lasten"	"Perjaar"	"2005 - 2015"
"7486mfo"	"Provinciebegrotingen; heffingen"	"Perjaar"	"1995 - 2015."
"71536ned"	"Provincierekeningen; balans"	"Perjaar"	"2004 - 2013"
"80502ned"	"Provincierekeningen; baten en lasten"	"Perjaar"	"2007 - 2013"
"80889ned"	"Provincies; tarieven opcenten"	"Perjaar"	"2000 - 2015"
"80504ned"	"Rijksfinancin vanaf 1900"	"Eenmaalperjaar"	"1900 - 2013"
"60050"	"Rijk; begrotingshoofdstukken"	"Tweemaalperjaar"	"1998 - 2014"
"81861NED"	"Waterschapsfinancin vanaf 1936"	"Perjaar"	"1936 - 2013."
"80445ned"	"Waterschappen; balans"	"Perjaar"	"2005 - 2013."
"71974ned"	"Waterschappen; begroting, heffingen"	"Perjaar"	"2009 - 2015"
"80892ned"	"Waterschappen; tarieven heffingen"	"Perjaar"	"2009 - 2015"
"82830NED"	"Decentrale overheden; EMU-saldo 2014-'16"	"Eenmalig"	"2014 - 2016"
"83013NED"	"Financile balansen decentrale overheden"	"Perkwartaal"	"2006 kw I - 2015 kw I"
"70130ned"	"Overheid; cultuur, sport en recreatie"	"Perjaar"	"1999 - 2012"
"71720ned"	"Beoordeling politiek en democratie"	"Onregelmatig"	"2006, 2010, 2012"
"71722ned"	"Betrokkenheid nieuws en politiek"	"Onregelmatig"	"22 november 2006."
"71724ned"	"Nationale problemen"	"Onregelmatig"	"2006, 2010, 2012"
"71721ned"	"Politieke en sociale participatie"	"Onregelmatig"	"22 november 2006."
"71723ned"	"Politieke kwesties"	"Onregelmatig"	"2006, 2010, 2012"
"71719ned"	"Vertrouwen in instellingen en mensen"	"Onregelmatig"	"2006, 2010, 2012"
"70697ned"	"Historie Europese verkiezingen,1979-2009"	"Stopgezet"	"1979 - 2009"
"70775NED"	"Europees Parlement landelijk 1999"	"Eenmalig"	"10 juni 1999"
"70776NED"	"Europees Parlement  regionaal 1999"	"Eenmalig"	"10 juni 1999"
"70774NED"	"Europees Parlement landelijk 1994"	"Eenmalig"	"9 juni 1994"
"70779NED"	"Europees Parlement landelijk 1989"	"Eenmalig"	"15 juni 1989"
"70778NED"	"Europees Parlement landelijk 1984"	"Eenmalig"	"14 juni 1984"
"70777ned"	"Europees Parlement landelijk 1979"	"Eenmalig"	"7 juni 1979"
"70221NED"	"Gemeenteraadsverkiezingen; herindelingen"	"Eenmalig"	"2000 - 2002"
"70096NED"	"Gemeenteraadsverkiezingen landelijk 2002"	"Eenmalig"	"6 maart 2002"
"70097NED"	"Gemeenteraadsverkiezingen regionaal 2002"	"Eenmalig"	"6 maart 2002"
"70172NED"	"Historie Provinciale Statenverkiezingen"	"Stopgezet"	"1946 - 2007"
"71425ned"	"Verkiezingen; Provinciale Staten 2007"	"Eenmalig"	"7 maart 2007"
"70228ned"	"Provinciale Staten landelijk 2003"	"Eenmalig"	"11 maart 2003"
"70227ned"	"Provinciale Staten regionaal 2003"	"Eenmalig"	"11 maart 2003"
"70165NED"	"Provinciale Staten landelijk 1999"	"Eenmalig"	"3 maart 1999 "
"70166NED"	"Provinciale Staten landelijk 1995"	"Eenmalig"	"8 maart 1995 "
"82095NED"	"Stemgedrag stemgerechtigden 12-09-2012"	"Onregelmatig"	"september 2012"
"81107ned"	"Stemgedrag stemgerechtigden 9-6-2010"	"Onregelmatig"	"2010"
"71725ned"	"Stemgedrag stemgerechtigden 22-11-2006"	"Onregelmatig"	"22 november 2006."
"71277NED"	"Verkiezingsuitslag Tweede Kamer, 2006"	"Stopgezet"	"22 november 2006"
"70148NED"	"Verkiezingsuitslag Tweede Kamer, 2003"	"Eenmalig"	"22 januari 2003"
"70163NED"	"Tweede Kamer verkiezingen regionaal 2003"	"Eenmalig"	"22 januari 2003"
"60045"	"Verkiezingsuitslag Tweede Kamer, 2002"	"Eenmalig"	"15 mei 2002"
"70075NED"	"Tweede Kamer verkiezingen regionaal 2002"	"Eenmalig"	"15 mei 2002"
"37628"	"Verkiezingsuitslag Tweede Kamer, 1998"	"Eenmalig"	"6 mei 1998"
"37864"	"Verkiezingsuitslag Tweede Kamer, 1994"	"Eenmalig"	"3 mei 1994"
"37613"	"Verkiezingsuitslag Tweede Kamer, 1989"	"Eenmalig"	"6 september 1989"
"37109"	"Verkiezingsuitslag Tweede Kamer, 1986"	"Eenmalig"	"21 mei 1986"
"37322"	"Verkiezingsuitslag Tweede Kamer, 1982"	"Eenmalig"	"8 september 1982"
"37166"	"Verkiezingsuitslag Tweede Kamer, 1981"	"Eenmalig"	"26 mei 1981"
"37153"	"Verkiezingsuitslag Tweede Kamer, 1977"	"Eenmalig"	"25 mei 1977"
"37185"	"Verkiezingsuitslag Tweede Kamer, 1972"	"Eenmalig"	"29 november 1972"
"37299"	"Verkiezingsuitslag Tweede Kamer, 1971"	"Eenmalig"	"28 april 1971"
"37607"	"Verkiezingsuitslag Tweede Kamer, 1967"	"Eenmalig"	"15 februari 1967"
"03761"	"Verkiezingsuitslag Tweede Kamer, 1963"	"Eenmalig"	"15 mei 1963"
"37635"	"Verkiezingsuitslag Tweede Kamer, 1959"	"Eenmalig"	"12 maart 1959"
"37381"	"Verkiezingsuitslag Tweede Kamer, 1956"	"Eenmalig"	"13 juni 1956"
"37147"	"Verkiezingsuitslag Tweede Kamer, 1952"	"Eenmalig"	"25 juni 1952"
"37517"	"Verkiezingsuitslag Tweede Kamer, 1948"	"Eenmalig"	"7 juli 1948"
"37475"	"Verkiezingsuitslag Tweede Kamer, 1946"	"Eenmalig"	"17 mei 1946"
"37388"	"Verkiezingsuitslag Tweede Kamer, 1937"	"Eenmalig"	"26 mei 1937"
"37993"	"Verkiezingsuitslag Tweede Kamer, 1933"	"Eenmalig"	"26 april 1933"
"37933"	"Verkiezingsuitslag Tweede Kamer, 1929"	"Eenmalig"	"3 juli 1929"
"37972"	"Verkiezingsuitslag Tweede Kamer, 1925"	"Eenmalig"	"1 juli 1925"
"37733"	"Verkiezingsuitslag Tweede Kamer, 1922"	"Eenmalig"	"5 juli 1922"
"37682"	"Verkiezingsuitslag Tweede Kamer, 1918"	"Eenmalig"	"3 juli 1918"
"37278"	"Verkiezingen; 2e kamer, 1918-2006"	"Stopgezet"	"1918 - 2006"
"80518ned"	"Vertrouwen in mensen, recht en politiek"	"Onregelmatig"	"2002-2012"
"80346ned"	"Consumentenprijzen; gemiddelde prijzen"	"Perjaar"	"2000 - 2014"
"80345ned"	"Consumentenprijzen; prijzen vanaf 1800"	"Perjaar"	"1800 - 2014"
"71311ned"	"CPI; prijsindex 2006 = 100"	"Permaand"	"Januari 1996 - juni 2015"
"80087ned"	"CPI; geharmoniseerde prijsindex 2005=100"	"Permaand"	"januari 2002 - juni 2015"
"70936ned"	"CPI; inflatie vanaf 1963"	"Permaand"	"januari 1963 - juni 2015"
"71099ned"	"CPI; inflatie Europa 2005=100"	"Permaand"	"januari 1996 - juni 2015"
"81135ned"	"CPI; frequente aankopen, 2006=100"	"Permaand"	"Januari 2006 - juni 2015"
"80545ned"	"CPI; huishoudens naar inkomensbron"	"Eenmaalperjaar"	"2007 - 2014"
"71313ned"	"CPI; onderliggende inflatie 2006 = 100"	"Permaand"	"januari 2006 - juni 2015"
"71905ned"	"CPI; prijsindex 1900 = 100"	"Eenmaalperjaar"	"1900 - 2014"
"81975NED"	"Producentenprijsindex; 2010=100, SBI2008"	"Permaand"	"1981-2014; januari 1981 - mei 2015"
"81974NED"	"PPI; naar product,  2010 = 100"	"Permaand"	"2005-2014; januari 2005 - mei 2015"
"82113NED"	"Kostprijs consumentengoederen, 2010=100"	"Permaand"	"2005-01 - 2015-05"
"60004"	"Schuldsaneringen; beindigingen"	"Perkwartaal"	"kw I 1999 - kw 1 2015"
"80426ned"	"Schuldsaneringen; beindigingswijze"	"Perdriemaanden"	"1998- 1de kwartaal 2015"
"83102NED"	"Asielverzoeken, nareizigers; kerncijfers"	"Permaand"	"januari 2014 - juni 2015"
"81101ned"	"Rechtsbijstand; afgegeven toevoegingen"	"Eenmaalperjaar"	"2007-2014"
"81104ned"	"Rechtsbijstand;contacten Juridisch Loket"	"Eenmaalperjaar"	"2004-2014"
"82229NED"	"Rechtsbijstand; personen met toevoeging"	"Perjaar"	"2007-2014"
"81103ned"	"Rechtsbijstand; gebr.toevoeging '07-'11"	"Eenmaalperjaar"	"2007-2011"
"81105ned"	"Rechtsbijstand; klanten Juridisch Loket"	"Eenmaalperjaar"	"2004-2014"
"80496ned"	"Adopties; vanaf 1957"	"Eenmaalperjaar"	"1957-2012"
"81550NED"	"Partneradopties; leeftijd van het kind"	"Stopgezet"	"2000-2011"
"71395ned"	"Stiefouderadopties naar leeftijd kind"	"Stopgezet"	"1995 - 2006"
"70809ned"	"Voogdij en ondertoezichtstelling"	"Stopgezet"	"1912 - 2012"
"80583ned"	"Bureau Slachtofferhulp, aangemelde zaken"	"Eenmaalperjaar"	"2009-2013"
"81018ned"	"Clinten van Slachtofferhulp"	"Perjaar"	"2009-2013"
"70882ned"	"Slachtofferhulp; aard hulpverlening"	"Stopgezet"	"2001 - 2006"
"71931ned"	"Slachtofferhulp naar persoonskenmerken"	"Stopgezet"	"2006 - 2007"
"37538"	"Rechtsbescherming & veiligheid; historie"	"Onregelmatig"	"1900 - 2009."
"70925ned"	"Bestuursrecht; Centrale Raad van Beroep."	"Eenmaalperjaar"	"1998 - 2014."
"70764ned"	"Bestuursrecht; rechtbanken"	"Eenmaalperjaar"	"2000 - 2014."
"80739NED"	"Burgerlijke rechtspraak; vanaf 1942"	"Eenmaalperjaar"	"1942 - 2014"
"80737NED"	"Burgerlijke rechtszaken"	"Perjaar"	"2010 - 2014"
"80738NED"	"Burg. rechtszaken; verzoekschriften"	"Perjaar"	"2010 - 2014"
"80734NED"	"Kinderalimentatie 2001-2013"	"Pertweejaar"	"2001-2013"
"80735NED"	"Partneralimentatie aan vrouw 2001-2013"	"Pertweejaar"	"2001-2013"
"82321NED"	"Gedetineerden; persoonskenmerken"	"Perjaar"	"2005-2014"
"37264"	"Gedetineerden op 30 september; kenmerken"	"Eenmaalperjaar"	"1994 - 2014"
"70937ned"	"Penitentiaire inrichtingen: capaciteit"	"Tijdelijkstopgezet"	"2000 - 2005"
"37651"	"Penitentiaire inr.; omvang 1994-2012"	"Eenmaalperjaar"	"1994 - 2012"
"37395"	"Penitentiaire inrichtingen; stroom"	"Tijdelijkstopgezet"	"1994 - 2000"
"82726NED"	"Personeel penitentiaire inr.; functie"	"Perjaar"	"2012-2014"
"82821NED"	"Personeel penitentiaire inr.; geslacht"	"Eenmaalperjaar"	"1994-2014"
"37340"	"Strafrecht; kerncijfers"	"Eenmaalperjaar"	"1994 - 2013"
"81536NED"	"Misdrijven; berechting"	"Eenmaalperjaar"	"1994-2013"
"81537NED"	"Misdrijven; berechting, gemeente"	"Eenmaalperjaar"	"1994-2011"
"82297NED"	"Misdrijven; berechting, gemeenten 2013"	"Perjaar"	"1994-2013"
"82295NED"	"Misdrijven ingeschreven zaken, gem. 2013"	"Perjaar"	"1994-2013"
"81533NED"	"Misdrijven; ingeschreven zaken, gemeente"	"Eenmaalperjaar"	"1994-2011"
"81534NED"	"Misdrijven; Openbaar Ministerie"	"Eenmaalperjaar"	"1994-2013"
"81535NED"	"Misdrijven; Openbaar Ministerie,gemeente"	"Eenmaalperjaar"	"1994-2011"
"82296NED"	"Misdrijven OM, gemeenten 2013"	"Perjaar"	"1994-2013"
"81538NED"	"Misdrijven; opgelegde straffen "	"Eenmaalperjaar"	"1994-2013"
"81532NED"	"Misdrijven; vervolging en berechting"	"Eenmaalperjaar"	"1994-2013"
"37632"	"Strafzaken; bijzondere procedures"	"Eenmaalperjaar"	"1990-2014"
"70229ned"	"Rechtspraak; Kerncijfers"	"Eenmaalperjaar"	"1995 - 2013"
"37441"	"Brandweer; branden en hulpverlening"	"Eenmaalperjaar"	"1985 - 2013"
"37511"	"Brandweer; branden, personeel, kosten"	"Eenmaalperjaar"	"1985 - 2013"
"37615"	"Brandweer; hulpverlening, reddingen"	"Eenmaalperjaar"	"1985 - 2013"
