isic	ind	gdpbyindustry_industry_key	gdpbyindustry_industry_desc	nipa_185_seriescode	nipa_185_linedescription	nipa_189_seriescode	nipa_189_linedescription	nipa_193_seriescode	nipa_193_linedescription	nipa_197_seriescode	nipa_197_linedescription	nipa_209_seriescode	nipa_209_linedescription	fixedassets_seriescode	fixedassets_linedescription	fixedassets_57_seriescode	fixedassets_57_linedescription
D32	N339	339	Miscellaneous manufacturing (A)	N4025C	Miscellaneous manufacturing	N4125C	Miscellaneous manufacturing	N4225C	Miscellaneous manufacturing	N4325C	Miscellaneous manufacturing	N4625C	Miscellaneous manufacturing	n338a1es00	Miscellaneous manufacturing	n338a1eq00	Miscellaneous manufacturing
	N31ND	31ND	"Nondurable goods (A,Q)"	N4026C	Nondurable goods	N4126C	Nondurable goods	N4226C	Nondurable goods	N4326C	Nondurable goods	N4626C	Nondurable goods	n31nd1es00	Nondurable goods	n31nd1eq00	Nondurable goods
D10T12	N311FT	311FT	Food and beverage and tobacco products (A)	N4027C	Food and beverage and tobacco products	N4127C	Food and beverage and tobacco products	N4227C	Food and beverage and tobacco products	N4327C	Food and beverage and tobacco products	N4627C	Food and beverage and tobacco products	n311a1es00	Food and beverage and tobacco products	n311a1eq00	Food and beverage and tobacco products
D13	N313TT	313TT	Textile mills and textile product mills (A)	N4029C	Textile mills and textile product mills	N4129C	Textile mills and textile product mills	N4228C	Textile mills and textile product mills	N4328C	Textile mills and textile product mills	N4628C	Textile mills and textile product mills	n313t1es00	Textile mills and textile product mills	n313t1eq00	Textile mills and textile product mills
D14	N315AL	315AL	Apparel and leather and allied products (A)	N4030C	Apparel and leather and allied products	N4130C	Apparel and leather and allied products	N4229C	Apparel and leather and allied products	N4329C	Apparel and leather and allied products	N4629C	Apparel and leather and allied products	n315a1es00	Apparel and leather and allied products	n315a1eq00	Apparel and leather and allied products
D17	N322	322	Paper products (A)	N4032C	Paper products	N4132C	Paper products	N4230C	Paper products	N4330C	Paper products	N4630C	Paper products	n32201es00	Paper products	n32201eq00	Paper products
D18	N323	323	Printing and related support activities (A)	N4033C	Printing and related support activities	N4133C	Printing and related support activities	N4231C	Printing and related support activities	N4331C	Printing and related support activities	N4631C	Printing and related support activities	n32301es00	Printing and related support activities	n32301eq00	Printing and related support activities
D19	N324	324	Petroleum and coal products (A)	N4034C	Petroleum and coal products	N4134C	Petroleum and coal products	N4232C	Petroleum and coal products	N4332C	Petroleum and coal products	N4632C	Petroleum and coal products	n32401es00	Petroleum and coal products	n32401eq00	Petroleum and coal products
D20T21	N325	325	Chemical products (A)	N4035C	Chemical products	N4135C	Chemical products	N4233C	Chemical products	N4333C	Chemical products	N4633C	Chemical products	n32501es00	Chemical products	n32501eq00	Chemical products
D22	N326	326	Plastics and rubber products (A)	N4036C	Plastics and rubber products	N4136C	Plastics and rubber products	N4234C	Plastics and rubber products	N4334C	Plastics and rubber products	N4634C	Plastics and rubber products	n32601es00	Plastics and rubber products	n32601eq00	Plastics and rubber products
D46	N42	42	"Wholesale trade (A,Q)"	N4037C	Wholesale trade	N4137C	Wholesale trade	N4235C	Wholesale trade	N4335C	Wholesale trade	N4635C	Wholesale trade	n42001es00	Wholesale trade	n42001eq00	Wholesale trade
				N4038C	Durable goods	N4138C	Durable goods	N4236C	Durable goods	N4336C	Durable goods	N4636C	Durable goods				
				N4039C	Nondurable goods	N4139C	Nondurable goods	N4237C	Nondurable goods	N4337C	Nondurable goods	N4637C	Nondurable goods				
